Alloys,Class,Phase
Al0.5Co1Cr1Cu1Fe1Ni1V0.79,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1V0.8,0,Non-SP-SS
Co2Mo0.5Ni2V1W0.5,0,Non-SP-SS
Co1.5Cr1Fe1Ni1.5Ti0.5Mo0.5,0,Non-SP-SS
Al0.7Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.8Co1Cr1Cu1Fe1Ni1,0,Non-SP-SS
Al0.8Cr1Fe1Ni2.2,0,Non-SP-SS
Al0.75Co1Cr1Cu0.25Fe1Ni1,0,Non-SP-SS
Al1Fe1Mg1Ti1Zn1,0,Non-SP-SS
Al0.75Co1Cr1Fe1Mn1Ni1,0,Non-SP-SS
Al0.5Co1Cr1Fe1Mn1Ni1Zr0.1,0,Non-SP-SS
Al43Co57Cr57Fe57Mn57Ni57,0,Non-SP-SS
Al0.4Co1Cr1Fe1Mn1Ni1V1,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1V0.98,0,Non-SP-SS
Co1Cr1Fe1Mo1Ni1,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1V1,0,Non-SP-SS
Al0.75Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.8Co1Cu0.8Fe1Ni1,0,Non-SP-SS
Al1C0.3Co1Cr1Fe1Ni1,0,Non-SP-SS
Co0.5Cr1Fe1Ni1Ti0.5,0,Non-SP-SS
Al0.9Cr1Cu1Fe1Ni2,0,Non-SP-SS
Co1Fe1Mn1Mo1Ni1,0,Non-SP-SS
Al10Cr18Fe36Mn21Ni15,0,Non-SP-SS
Cr1Fe1Ni2V0.5W0.75,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1Ti0.32,0,Non-SP-SS
Al1Co1.5Cu1Fe1Ni1,0,Non-SP-SS
Al0.25Co1Cr1Cu0.75Fe1Ni1Ti0.5,0,Non-SP-SS
Al1Co1Cr1Cu0.5Fe1Ni1.5,0,Non-SP-SS
Al0.81Co1Cr1Fe1Mn1Ni1,0,Non-SP-SS
Al1Co1.5Cr1Cu0.5Fe1Ni1,0,Non-SP-SS
Co1Cr1Fe1Mo0.5Ni1W0.5,0,Non-SP-SS
Al0.56Cr1Fe2Mn1.25Ni0.75,0,Non-SP-SS
Al0.75Co1Fe1Ni1,0,Non-SP-SS
Al0.5Co1Cr1Cu1Fe1Ni1V1.2,0,Non-SP-SS
Al0.8Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.4Cr1Fe1.5Ni0.5,0,Non-SP-SS
Al1Co1Cr1Cu0.5Fe2Ni1,0,Non-SP-SS
Al1C0.2Co1Cr1Fe1Ni1,0,Non-SP-SS
