Alloys,Class,alloy_sep,normalizer,k,vm,tm,vac,delta_s_mix,delta_chi,delta,delta_h_mix
Cr2Cu1Fe2Mn1Ni1,0,"[('Cr', 2.0), ('Cu', 1.0), ('Fe', 2.0), ('Mn', 1.0), ('Ni', 1.0)]",7.0,156.42857142857144,7.107142857142858,1798.2385714285713,8.0,12.885248789902855,0.1286983500520595,1.6300400310146328,3.5510204081632666
Al0.5B0.2Co1Cr1Cu1Fe1Ni1,0,"[('Al', 0.5), ('B', 0.2), ('Co', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",5.7,163.0175438596491,7.131578947368421,1716.1640350877194,8.087719298245613,15.445243961005607,0.11506418244558704,7.621534143600899,-12.2486919052016
Cr1Cu2Fe2Ni1Mn2,0,"[('Cr', 1.0), ('Cu', 2.0), ('Fe', 2.0), ('Ni', 1.0), ('Mn', 2.0)]",8.0,149.125,7.12625,1660.5550000000003,8.5,12.966352777616104,0.14551095319597074,1.752481152130052,6.69375
Cr1Fe2Mn1.25Ni0.75,0,"[('Cr', 1.0), ('Fe', 2.0), ('Mn', 1.25), ('Ni', 0.75)]",5.0,155.95,7.1235,1799.5000000000002,7.65,10.970697017031927,0.13370115930686616,1.2821235957886594,-3.9689999999999994
Co1Cr1Fe1Nb0.25Ni1,0,"[('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Nb', 0.25), ('Ni', 1.0)]",4.25,171.7058823529412,7.1364705882352935,1923.5617647058825,8.058823529411764,12.707658957919202,0.10714282418849386,2.174421967416966,-11.565397923875432
Co1Cu1Fe1Mn1Ni1Sn0.1,0,"[('Co', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Mn', 1.0), ('Ni', 1.0), ('Sn', 0.1)]",5.1,155.05882352941177,7.16078431372549,1612.5374509803924,9.098039215686276,13.920866419571214,0.135045238550678,1.9444561127570266,1.1564782775855444
Al0.348Co1Cr1Fe1Ni1,0,"[('Al', 0.348), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",4.348,164.08647654093835,7.155013799448023,1796.7910671573138,7.8298068077276906,12.921605829649852,0.10885209708002345,3.043135252539706,-16.137440978901783
Cr2Cu2Fe1Ni1Mn2,0,"[('Cr', 2.0), ('Cu', 2.0), ('Fe', 1.0), ('Ni', 1.0), ('Mn', 2.0)]",8.0,148.0,7.1425,1706.6799999999998,8.25,12.966352777616104,0.1470544116985274,1.752481152130052,6.468750000000002
Cr1Fe1.5Mn1Ni0.5,0,"[('Cr', 1.0), ('Fe', 1.5), ('Mn', 1.0), ('Ni', 0.5)]",4.0,155.25,7.1425,1820.0249999999999,7.5,10.981861720520435,0.13083864108129525,1.1864355654998162,-3.5812500000000003
Al0.3Co1Cr2Fe1Ni1,0,"[('Al', 0.3), ('Co', 1.0), ('Cr', 2.0), ('Fe', 1.0), ('Ni', 1.0)]",5.3,164.11320754716982,7.143396226415096,1876.9416981132076,7.528301886792454,12.25725250345955,0.11230615989030078,2.7917657747889884,-13.78996084015664
Al22Co78Cr78Fe78Mn78Ni78,0,"[('Al', 22.0), ('Co', 78.0), ('Cr', 78.0), ('Fe', 78.0), ('Mn', 78.0), ('Ni', 78.0)]",412.0,156.4611650485437,7.163980582524272,1755.0068932038835,7.733009708737864,14.398999424405039,0.1391109348719986,2.746574915246496,-13.78950890753134
Co1Cr1Fe5Mn3,0,"[('Co', 1.0), ('Cr', 1.0), ('Fe', 5.0), ('Mn', 3.0)]",10.0,153.8,7.159999999999999,1756.1500000000003,7.6,9.713096326345305,0.13207573584879245,1.075268817204298,-1.7600000000000002
Al1C1Co1Cr1Fe1Ni1,0,"[('Al', 1.0), ('C', 1.0), ('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",6.0,132.83333333333334,7.154999999999999,2193.12,6.666666666666667,14.896682280527974,0.3080404013906111,19.920566549873595,-61.96666666666667
Co1Cr1Fe1Mn1Ni1V0.75,0,"[('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Mn', 1.0), ('Ni', 1.0), ('V', 0.75)]",5.75,160.73913043478262,7.179565217391305,1851.15,7.608695652173913,14.854814091949796,0.13691165586715884,1.8150276924290827,-10.682797731569
Al22Co71Cr71Fe71Mn71Ni71,0,"[('Al', 22.0), ('Co', 71.0), ('Cr', 71.0), ('Fe', 71.0), ('Mn', 71.0), ('Ni', 71.0)]",377.0,156.0397877984085,7.178832891246684,1750.7044827586208,7.708222811671087,14.449199985443107,0.13915498072957874,2.816036918459103,-14.418701320631259
Al0.4Co1Cu0.4Fe1Ga0.02Ni1,0,"[('Al', 0.4), ('Co', 1.0), ('Cu', 0.4), ('Fe', 1.0), ('Ga', 0.02), ('Ni', 1.0)]",3.82,160.869109947644,7.192670157068063,1630.891151832461,8.602094240837697,12.908523004509679,0.08706965269789144,3.0569886250483402,-12.064910501356872
Cr1Fe1Ni2V0.5W0.25,0,"[('Cr', 1.0), ('Fe', 1.0), ('Ni', 2.0), ('V', 0.5), ('W', 0.25)]",4.75,177.57894736842107,7.176315789473684,1991.7815789473689,8.736842105263158,11.741182944347996,0.11392518320556283,1.800543477859277,-11.146814404432131
Al0.1Cr1Fe2Mn1.25Ni0.75,0,"[('Al', 0.1), ('Cr', 1.0), ('Fe', 2.0), ('Mn', 1.25), ('Ni', 0.75)]",5.1,154.38235294117646,7.179901960784314,1782.5190196078433,7.558823529411765,11.557959741537497,0.1335681323606589,1.9076990875470878,-6.63917723952326
Co1Cr1Fe1Nb0.309Ni1,0,"[('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Nb', 0.309), ('Ni', 1.0)]",4.309,171.69621721977256,7.186632629380368,1934.8796356463217,8.016941285681133,12.844489235704794,0.10909353331179962,2.23830111644898,-12.726529786135233
Co1Cr1Fe1Ni1V1,0,"[('Co', 1.0), ('Cr', 1.0), ('Fe', 1.0), ('Ni', 1.0), ('V', 1.0)]",5.0,169.2,7.196,1934.15,7.6,13.380861848448422,0.11513470371699405,1.7879487173599873,-13.584
Co2Cr1Mo0.5Ni2W0.5,0,"[('Co', 2.0), ('Cr', 1.0), ('Mo', 0.5), ('Ni', 2.0), ('W', 0.5)]",6.0,190.83333333333331,7.215833333333333,2077.3166666666666,9.5,12.015270442046315,0.13139211882334836,2.281498406569474,-6.161111111111111
Co2Cr0.5Ni2V1W0.5,0,"[('Co', 2.0), ('Cr', 0.5), ('Ni', 2.0), ('V', 1.0), ('W', 0.5)]",6.0,184.83333333333331,7.221666666666666,2018.2333333333336,9.333333333333334,12.015270442046315,0.11499999999999999,1.0204999354939668,-13.475
Al0.4Co1Cu0.4Fe1Ga0.04Ni1,0,"[('Al', 0.4), ('Co', 1.0), ('Cu', 0.4), ('Fe', 1.0), ('Ga', 0.04), ('Ni', 1.0)]",3.84,160.32291666666666,7.216666666666667,1623.9745833333336,8.625,13.052111272863874,0.08688617783805169,3.0623431301004316,-12.430555555555555
Al0.45Co1Cr1Cu1Fe1Ni1,0,"[('Al', 0.45), ('Co', 1.0), ('Cr', 1.0), ('Cu', 1.0), ('Fe', 1.0), ('Ni', 1.0)]",5.45,158.01834862385317,7.198165137614678,1700.0791743119266,8.321100917431192,14.645499442948141,0.10803195417390526,2.9786714557598177,-6.269505933843952
Co1Fe1Mn1Ni1V1,0,"[('Co', 1.0), ('Fe', 1.0), ('Mn', 1.0), ('Ni', 1.0), ('V', 1.0)]",5.0,160.8,7.228,1801.9500000000003,7.800000000000001,13.380861848448422,0.14338758663147935,1.7879487173599873,-13.584000000000001
